Id,Text,Correct,Network,Memories,Cor2Net,Cor2Mem,Net2Mem
s03307,Los aumentos en el costo de la energía afectarán a tu bolsillo,losaumentosenelkostodelanexiaafektar(anatubolsiZo,klsomelsenmkosoeoaeixieaetaaoapmmsiinp,-a--a-o-oi-os-o-eaniae---ei-aoa-u-s-n-e-,27,35,31
s07803,El plan de ciencia y tecnología del estado de Guanajuato está estructurado en tres capítulos,elplandesiensiteknoloxiadelestadodeguanaxuatoestaestr(uktur(adoentr(eskapitulos,enpaaneasiensinennaeaoxsieaaeestaooneoanaoaaookpptestaestnponaaooeineesaipomlnss,-li----s-e---enae-a--e-aa-e-s-eo--i-aoao--a--o-----e--e--ae-a-o-a-on-es-o--n--le-s-,41,67,63
s01037,visible al inicio de la noche hacia el poniente,bisiblealinisiodelanotSeasielponiente,isiimeaeiniisieoaeaaoorasieloienek,t-i-s-iaaini-s-aeaana---l--o-iam-e-,15,26,24
s09202,Avancemos con el resto de las opciones,abansemoskonelrestoelasopsiones,kaansemoskoneaelresoaasotsieaeess,-aa-aa--nal-e--oa--ls-e-ao-st,12,25,23
s01850,Tab es la que usa el sistema por defecto,tabeslakeusaelsistemapor(defekto,taaesaekiieosaesistemaopomoefeeappt,-aa--s-ae-ei-o-s-ae--s--a-a--la--e-a--p,15,30,26
s09208,Hablar sobre excesos y falta de proporciones,ablar(sobr(eksesusifaltadepr(opor(siones,aaasaeseesoasiaeaepoosieanessf,-a-a-ae------a-a-aoa--aas--,21,31,22
s02604,Realización de programas de radio y televisión,ralisasiondepr(ogr(amasderaditelebisionteleb,raesaseneemaaaaaaeeeeeiseaek,-oaa--s-ele-eeao-a-aeaeeaoi-aeae-,26,31,18
s00308,Introduzca su nombre de usuario y contraseña y pulse el botón,intr(oduskasunombr(edeusuar(ioikontr(asen~aipulselboton,kineellskaslnmommeesoaeieiekoaseiieinomslmoopoofpp,-in-all--a-s-mn-one-ia-s-oeaeie-ie-----s--oe-i-o-s-ilo-ea---p,33,49,38
s01301,La ley regulará un estatuto de los trabajadores,laleiregular(aunestatutodelostr(baxador(es,llaleineeomlaaaknmnesaemooelosaaxaooessppt,-i-aaeieilaei-a-aa-oe--e-oe-ol---a-ao-s--,23,32,32
s03330,Propuestas para la organización del congreso,pr(opuestaspar(alar(gnisasiondekongr(es,toopoasspaaoomnsesieollomesp,--an-----oanm--a--nli-a-mo-s-,22,31,26
